sector  pad  layer noise_in_MeV
2  62  0 0.019631874875883706
2  61  0 0.01654104987457172
2  60  0 0.016662210884366688
2  59  0 0.014993870358496083
2  58  0 0.018192153006962506
2  57  0 0.016572038594096422
2  56  0 0.012690304685463918
2  55  0 0.009945800535395668
2  54  0 0.012774645061795204
2  53  0 0.012006080560441255
2  52  0 0.012125483275435552
2  51  0 0.011526909799745046
2  50  0 0.012781534350784798
2  49  0 0.011973438193543575
2  48  0 0.012514087137852915
2  47  0 0.010672603082559705
2  46  0 0.013086471504686628
2  45  0 0.010836597592601038
2  44  0 0.01203981736502019
2  43  0 0.011552218126085452
2  42  0 0.012530016438486604
2  41  0 0.01007581951391365
2  40  0 0.011246668348700688
2  39  0 0.010648443697769149
2  38  0 0.009990588544369619
2  37  0 0.011763307248819407
2  36  0 0.010476018529334535
2  35  0 0.010801619189895658
2  34  0 0.010068688227747525
2  33  0 0.011109199781424025
2  32  0 0.011661219322798315
2  31  0 0.011558891579755435
2  30  0 0.014476932777177504
2  29  0 0.009453421307185713
2  28  0 0.011510624043810787
2  27  0 0.01055969722870116
2  26  0 0.00926148811410589
2  25  0 0.007436506740143923
2  24  0 0.009821180710100073
2  23  0 0.012135902234954943
2  22  0 0.01486020398109216
2  21  0 0.0105323559080624
2  20  0 0.01284199985251956
2  19  0 0.009728466359398839
2  18  0 0.008572981620128222
2  17  0 0.008609077897178356
2  16  0 0.01073256496854871
2  15  0 0.008959039606843815
2  14  0 0.008966049349382988
2  13  0 0.00875458360491709
2  12  0 0.011556728866249841
2  11  0 0.00839873493240538
2  10  0 0.008555845058805297
2  9  0 0.008922407011726766
2  8  0 0.009951842834267392
2  7  0 0.009656949653269064
2  6  0 0.0062044064578370695
2  5  0 0.006610957899141956
2  4  0 0.008226106464540937
2  3  0 0.007334651545641703
2  2  0 0.006099962874615578
2  1  0 0.005637801681228488
2  0  0 0.0058365674792745705
3  0  0 0.008733744050762255
3  1  0 0.0076638123988990205
3  2  0 0.007876307176403878
3  3  0 0.0115662801241813
3  4  0 0.006091395956550833
3  5  0 0.006905418319423693
3  6  0 0.008210264915135676
3  7  0 0.0076495421960251705
3  8  0 0.007515158002671934
3  9  0 0.006730421658469075
3  10  0 0.007462021091107594
3  11  0 0.009069591438618022
3  12  0 0.009119599283086699
3  13  0 0.008819541860539607
3  14  0 0.008895434682278354
3  15  0 0.0071220232336588075
3  16  0 0.00989009540154343
3  17  0 0.00907590135148452
